Etykieta Pola (UI),Nazwa API,Typ Danych,Pole Niestandardowe,Wymagane,Tylko Odczyt,Typ Danych (Polski),Możliwe Wartości,Powiązany Moduł,Maks. Długość,Sekcja,Wartość Domyślna
Handle,HANDLE,picklist,,,,Lista wyboru,,,,,
Komentarz,COMMENT,textarea,,,,Tekst wielowierszowy,,,2000,,
Tweet,TWEET,textarea,,,,Tekst wielowierszowy,,,2000,,
Twitter SocialID,SOCIALID,lookup,,,,Lookup,,,,,
Wiadomość,MESSAGE,textarea,,,,Tekst wielowierszowy,,,2000,,
